user_id,experiment_group,experiment_start_month
7590-VHVEG,control,1900-02-01
5575-GNVDE,control,1900-04-01
3668-QPYBK,discount,1900-02-01
7795-CFOCW,control,1900-05-01
9237-HQITU,control,1900-05-01
9305-CDSKC,control,1900-01-01
1452-KIOVK,control,1900-07-01
6713-OKOMC,control,1900-05-01
7892-POOKP,control,1900-06-01
6388-TABGU,control,1900-05-01
9763-GRSKD,discount,1900-02-01
7469-LKBCI,discount,1900-12-01
8091-TTVAX,discount,1900-04-01
0280-XJGEX,control,1900-03-01
5129-JLPIS,discount,1900-02-01
3655-SNQYZ,discount,1900-03-01
8191-XWSZG,control,1900-06-01
9959-WOFKT,control,1900-05-01
4190-MFLUW,discount,1900-02-01
4183-MYFRB,control,1900-06-01
8779-QRDMV,discount,1900-06-01
1680-VDCWW,discount,1900-08-01
1066-JKSGK,control,1900-02-01
3638-WEABW,control,1900-07-01
6322-HRPFA,control,1900-05-01
6865-JZNKO,control,1900-01-01
6467-CHFZW,discount,1900-10-01
8665-UTDHZ,discount,1900-12-01
5248-YGIJN,control,1900-04-01
8773-HHUOZ,control,1900-05-01
3841-NFECX,discount,1900-12-01
4929-XIHVW,discount,1900-11-01
6827-IEAUQ,control,1900-12-01
7310-EGVHZ,control,1900-11-01
3413-BMNZE,control,1900-12-01
6234-RAAPL,discount,1900-03-01
6047-YHPVI,control,1900-04-01
6572-ADKRS,discount,1900-11-01
5380-WJKOV,discount,1900-06-01
8168-UQWWF,discount,1900-02-01
8865-TNMNX,control,1900-04-01
9489-DEDVP,control,1900-12-01
9867-JCZSP,control,1900-08-01
4671-VJLCL,discount,1900-07-01
4080-IIARD,control,1900-08-01
3714-NTNFO,control,1900-10-01
5948-UJZLF,control,1900-10-01
7760-OYPDY,discount,1900-06-01
7639-LIAYI,discount,1900-10-01
2954-PIBKO,control,1900-09-01
8012-SOUDQ,discount,1900-10-01
9420-LOJKX,control,1900-07-01
6575-SUVOI,discount,1900-12-01
7495-OOKFY,control,1900-11-01
4667-QONEA,discount,1900-11-01
1658-BYGOY,control,1900-10-01
8769-KKTPH,discount,1900-11-01
5067-XJQFU,control,1900-05-01
3957-SQXML,discount,1900-12-01
5954-BDFSG,control,1900-11-01
0434-CSFON,control,1900-12-01
1215-FIGMP,discount,1900-10-01
0526-SXDJP,discount,1900-06-01
0557-ASKVU,control,1900-05-01
5698-BQJOH,discount,1900-05-01
5122-CYFXA,discount,1900-04-01
8627-ZYGSZ,control,1900-01-01
3410-YOQBQ,control,1900-02-01
3170-NMYVV,discount,1900-09-01
7410-OIEDU,discount,1900-02-01
2273-QCKXA,discount,1900-04-01
0731-EBJQB,control,1900-01-01
1891-QRQSA,discount,1900-07-01
8028-PNXHQ,discount,1900-06-01
