user_id,gender,SeniorCitizen,Partner,Dependents,months_active,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,subscription_type,PaperlessBilling,PaymentMethod,monthly_price,total_revenue,churn_label,sessions_per_week,avg_watch_minutes,days_since_last_login,preferred_genre,device_type,number_of_profiles,billing_cycle,payment_success,failed_payment_count,chargeback_flag,monthly_revenue,ticket_count,avg_response_time,resolved_flag,experiment_group,experiment_start_month,stage_signup,stage_active,stage_engaged,stage_retained,tenure_bucket
7590-VHVEG,Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,0,3,42.94776152023376,23,Romance,Mobile,2,8,1,0,0,29.85,0,36.5475210085118,1,control,1900-02-01,1,1,1,1,0-6
5575-GNVDE,Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,0,6,50.06523945230804,29,Drama,SmartTV,1,9,1,0,0,56.95,0,18.625696543499863,1,control,1900-04-01,1,1,1,1,24-36
3668-QPYBK,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,1,2,18.17235946262378,15,Drama,Mobile,4,11,0,0,0,0.0,0,22.35324862837346,1,discount,1900-02-01,1,1,0,0,0-6
7795-CFOCW,Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,0,8,52.68046966839319,17,Horror,Desktop,3,22,1,0,0,42.3,0,33.76926440525838,1,control,1900-05-01,1,1,1,1,36+
9237-HQITU,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,1,3,34.59297202055263,10,Drama,Desktop,3,8,1,0,0,70.7,0,44.230279941737486,1,control,1900-05-01,1,1,1,0,0-6
9305-CDSKC,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,1,6,16.607623923501894,22,Romance,SmartTV,2,9,1,0,0,99.65,0,19.994021521104244,1,control,1900-01-01,1,1,0,0,6-12
1452-KIOVK,Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,0,4,30.50012544415224,15,Drama,SmartTV,2,7,1,0,0,89.1,0,13.219174066952442,1,control,1900-07-01,1,1,1,1,12-24
6713-OKOMC,Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,0,5,42.16935816470026,13,Horror,Desktop,3,14,1,0,0,29.75,1,31.88241230496355,1,control,1900-05-01,1,1,1,1,6-12
7892-POOKP,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,1,3,24.74427471329284,12,Horror,SmartTV,1,3,1,0,0,104.8,0,31.10255429887333,1,control,1900-06-01,1,1,0,0,24-36
6388-TABGU,Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,0,8,46.497732351020325,3,Action,Desktop,3,14,1,0,0,56.15,0,35.86405571658962,1,control,1900-05-01,1,1,1,1,36+
9763-GRSKD,Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,0,6,22.064142252639485,17,Romance,Desktop,1,15,1,0,0,49.95,0,25.099775979221473,1,discount,1900-02-01,1,1,0,1,12-24
