user_id,experiment_group,experiment_start_month
7590-VHVEG,control,2
5575-GNVDE,control,4
3668-QPYBK,discount,2
7795-CFOCW,control,5
9237-HQITU,control,5
9305-CDSKC,control,1
1452-KIOVK,control,7
6713-OKOMC,control,5
7892-POOKP,control,6
6388-TABGU,control,5
9763-GRSKD,discount,2
7469-LKBCI,discount,12
8091-TTVAX,discount,4
0280-XJGEX,control,3
5129-JLPIS,discount,2
3655-SNQYZ,discount,3
8191-XWSZG,control,6
9959-WOFKT,control,5
4190-MFLUW,discount,2
4183-MYFRB,control,6
8779-QRDMV,discount,6
1680-VDCWW,discount,8
1066-JKSGK,control,2
3638-WEABW,control,7
6322-HRPFA,control,5
6865-JZNKO,control,1
6467-CHFZW,discount,10
8665-UTDHZ,discount,12
5248-YGIJN,control,4
8773-HHUOZ,control,5
3841-NFECX,discount,12
4929-XIHVW,discount,11
6827-IEAUQ,control,12
7310-EGVHZ,control,11
3413-BMNZE,control,12
6234-RAAPL,discount,3
6047-YHPVI,control,4
6572-ADKRS,discount,11
5380-WJKOV,discount,6
8168-UQWWF,discount,2
8865-TNMNX,control,4
9489-DEDVP,control,12
9867-JCZSP,control,8
4671-VJLCL,discount,7
4080-IIARD,control,8
3714-NTNFO,control,10
5948-UJZLF,control,10
7760-OYPDY,discount,6
7639-LIAYI,discount,10
2954-PIBKO,control,9
8012-SOUDQ,discount,10
9420-LOJKX,control,7
6575-SUVOI,discount,12
7495-OOKFY,control,11
4667-QONEA,discount,11
1658-BYGOY,control,10
8769-KKTPH,discount,11
5067-XJQFU,control,5
3957-SQXML,discount,12
5954-BDFSG,control,11
0434-CSFON,control,12
1215-FIGMP,discount,10
0526-SXDJP,discount,6
0557-ASKVU,control,5
5698-BQJOH,discount,5
5122-CYFXA,discount,4
8627-ZYGSZ,control,1
3410-YOQBQ,control,2
3170-NMYVV,discount,9
7410-OIEDU,discount,2
2273-QCKXA,discount,4
0731-EBJQB,control,1
1891-QRQSA,discount,7
8028-PNXHQ,discount,6
5630-AHZIL,control,1
2673-CXQEU,control,4
6416-JNVRK,control,11
5590-ZSKRV,control,10
0191-ZHSKZ,control,1
3887-PBQAO,control,8
5919-TMRGD,discount,6
8108-UXRQN,discount,12
9191-MYQKX,discount,9
9919-YLNNG,control,12
0318-ZOPWS,discount,6
4445-ZJNMU,control,8
4808-YNLEU,discount,2
1862-QRWPE,control,5
2796-NNUFI,discount,3
3016-KSVCP,discount,11
4767-HZZHQ,control,6
2424-WVHPL,discount,8
7233-PAHHL,control,5
6067-NGCEU,control,6
9848-JQJTX,control,1
8637-XJIVR,control,7
9803-FTJCG,discount,9
0278-YXOOG,control,10
3212-KXOCR,discount,9
4598-XLKNJ,discount,12
6380-ARCEH,control,7
3679-XASPY,discount,2
7123-WQUHX,discount,12
5386-THSLQ,control,2
3192-NQECA,discount,1
6180-YBIQI,discount,2
6728-DKUCO,discount,1
9750-BOOHV,control,12
8597-CWYHH,discount,10
2848-YXSMW,discount,12
0486-HECZI,control,9
4549-ZDQYY,control,1
5712-AHQNN,control,9
4846-WHAFZ,discount,2
5256-SKJGO,discount,1
3071-VBYPO,discount,12
9560-BBZXK,discount,5
5299-RULOA,control,7
8402-OOOHJ,control,9
9445-ZUEQE,discount,8
1091-SOZGA,discount,4
2928-HLDBA,control,4
0404-SWRVG,control,4
6497-TILVL,discount,12
7219-TLZHO,control,9
4622-YNKIJ,discount,11
4412-YLTKF,discount,8
6734-PSBAW,discount,10
3930-ZGWVE,discount,5
2639-UGMAZ,discount,11
2876-GZYZC,discount,8
6207-WIOLX,control,6
8587-XYZSF,control,12
3091-FYHKI,control,10
2372-HWUHI,control,3
7799-LGRDP,control,5
7850-VWJUU,discount,1
3774-VBNXY,discount,1
6217-KDYWC,discount,6
0390-DCFDQ,control,4
3146-MSEGF,control,4
4080-OGPJL,control,7
1095-WGNGG,discount,4
2636-SJDOU,control,2
1131-QQZEB,control,12
5716-EZXZN,control,10
6837-BJYDQ,discount,1
2135-RXIHG,discount,3
6440-DKQGE,discount,3
3466-BYAVD,control,10
3780-YVMFA,discount,6
3874-EQOEP,control,1
1679-JRFBR,control,2
9073-ZZIAY,control,3
3077-RSNTJ,discount,12
6551-GNYDG,control,7
9167-APMXZ,discount,10
2749-CTKAJ,discount,8
6371-NZYEG,discount,1
7554-NEWDD,control,4
8992-VONJD,control,7
0867-MKZVY,discount,3
4482-EWFMI,discount,7
4648-YPBTM,control,11
2907-ILJBN,control,11
6345-FZOQH,discount,4
3376-BMGFE,discount,5
5997-OPVFA,discount,10
3445-HXXGF,discount,7
1159-WFSGR,control,8
7654-YWJUF,control,4
1875-QIVME,discount,6
6727-IOTLZ,control,8
0691-JVSYA,discount,12
5918-VUKWP,discount,8
1744-JHKYS,discount,6
2656-FMOKZ,discount,3
2070-FNEXE,discount,3
5947-SGKCL,discount,10
3712-PKXZA,discount,7
6317-YPKDH,discount,12
6582-OIVSP,control,4
9367-WXLCH,control,5
5524-KHNJP,control,11
1918-ZBFQJ,discount,1
1024-GUALD,discount,12
4827-USJHP,discount,2
8167-GJLRN,discount,5
0956-SYCWG,control,6
8017-UVSZU,control,8
7100-FQPRV,discount,1
2472-OVKUP,control,10
2984-RGEYA,control,10
9680-NIAUV,control,2
2146-EGVDT,control,7
2604-IJPDU,discount,3
9178-JHUVJ,control,11
6168-YBYNP,control,10
7255-SSFBC,discount,9
3645-DEYGF,control,3
9323-HGFWY,control,9
8544-GOQSH,discount,8
3363-DTIVD,discount,11
7018-WBJNK,control,1
9142-KZXOP,control,10
7674-YTAFD,control,10
6348-SNFUS,discount,10
1285-OKIPP,discount,6
7825-ECJRF,control,6
1347-KTTTA,discount,3
7841-TZDMQ,discount,11
4195-NZGTA,control,2
7157-SMCFK,control,3
4709-LKHYG,discount,12
2504-DSHIH,control,2
0699-NDKJM,control,11
9286-BHDQG,control,10
0230-WEQUW,discount,10
2040-LDIWQ,discount,10
6496-JDSSB,discount,7
9408-SSNVZ,discount,3
4443-EMBNA,discount,11
6469-MRVET,discount,1
0742-MOABM,discount,9
5961-VUSRV,discount,8
6778-JFCMK,control,3
6341-JVQGF,control,6
2232-DMLXU,discount,12
4811-JBUVU,control,1
0945-TSONX,control,1
2651-ZCBXV,control,11
3316-UWXUY,discount,4
8937-RDTHP,control,12
