user_id,billing_cycle,payment_success,failed_payment_count,chargeback_flag,monthly_revenue
7590-VHVEG,8,1,0,0,29.85
5575-GNVDE,9,1,0,0,56.95
3668-QPYBK,11,0,0,0,0.0
7795-CFOCW,22,1,0,0,42.3
9237-HQITU,8,1,0,0,70.7
9305-CDSKC,9,1,0,0,99.65
1452-KIOVK,7,1,0,0,89.1
6713-OKOMC,14,1,0,0,29.75
7892-POOKP,3,1,0,0,104.8
6388-TABGU,14,1,0,0,56.15
9763-GRSKD,15,1,0,0,49.95
7469-LKBCI,8,1,1,0,18.95
8091-TTVAX,9,1,0,0,100.35
0280-XJGEX,18,1,0,0,103.7
5129-JLPIS,11,1,1,0,105.5
3655-SNQYZ,21,1,0,0,113.25
8191-XWSZG,23,1,0,0,20.65
9959-WOFKT,24,1,0,0,106.7
4190-MFLUW,1,1,0,0,55.2
4183-MYFRB,11,1,0,0,90.05
8779-QRDMV,6,1,0,0,39.65
1680-VDCWW,16,1,0,0,19.8
1066-JKSGK,17,1,0,0,20.15
3638-WEABW,13,1,0,0,59.9
6322-HRPFA,5,1,0,0,59.6
6865-JZNKO,23,1,0,0,55.3
6467-CHFZW,8,1,0,0,99.35
8665-UTDHZ,4,1,0,0,30.2
5248-YGIJN,12,1,0,0,90.25
8773-HHUOZ,2,0,0,0,0.0
3841-NFECX,4,1,0,0,96.35
4929-XIHVW,20,1,0,0,95.5
6827-IEAUQ,20,1,0,0,66.15
7310-EGVHZ,12,0,0,0,0.0
3413-BMNZE,24,1,0,0,45.25
6234-RAAPL,14,1,0,0,99.9
6047-YHPVI,13,1,0,0,69.7
6572-ADKRS,12,1,0,0,74.8
5380-WJKOV,1,1,1,0,106.35
8168-UQWWF,24,1,0,0,97.85
8865-TNMNX,15,1,1,0,49.55
9489-DEDVP,1,1,0,0,69.2
9867-JCZSP,24,1,0,0,20.75
4671-VJLCL,10,1,0,0,79.85
4080-IIARD,3,1,0,0,76.2
3714-NTNFO,5,1,0,0,84.5
5948-UJZLF,21,1,0,0,49.25
7760-OYPDY,7,1,0,0,80.65
7639-LIAYI,19,1,0,0,79.75
2954-PIBKO,6,1,0,0,64.15
8012-SOUDQ,6,1,0,0,90.25
9420-LOJKX,5,1,0,0,99.1
6575-SUVOI,8,1,0,0,69.5
7495-OOKFY,11,1,0,0,80.65
4667-QONEA,19,1,0,0,74.85
1658-BYGOY,15,1,0,0,95.45
8769-KKTPH,7,1,0,0,99.65
5067-XJQFU,23,1,0,0,108.45
3957-SQXML,6,1,0,0,24.95
5954-BDFSG,13,1,0,0,107.5
0434-CSFON,19,1,0,0,100.5
1215-FIGMP,24,1,1,0,89.9
0526-SXDJP,7,1,0,1,42.1
0557-ASKVU,21,1,0,0,54.4
5698-BQJOH,23,1,0,0,94.4
5122-CYFXA,1,1,1,0,75.3
8627-ZYGSZ,17,1,0,0,78.9
3410-YOQBQ,6,1,0,0,79.2
3170-NMYVV,17,1,0,0,20.15
7410-OIEDU,18,1,0,0,79.85
2273-QCKXA,1,1,0,0,49.05
0731-EBJQB,17,0,0,0,0.0
1891-QRQSA,11,1,0,0,111.6
8028-PNXHQ,12,1,0,0,24.25
5630-AHZIL,13,1,0,0,64.5
2673-CXQEU,8,1,0,0,110.5
6416-JNVRK,13,1,0,0,55.65
5590-ZSKRV,19,1,1,0,54.65
0191-ZHSKZ,21,1,0,0,74.75
3887-PBQAO,12,1,0,0,25.9
5919-TMRGD,5,1,0,0,79.35
8108-UXRQN,19,1,0,0,50.55
9191-MYQKX,12,1,0,0,75.15
9919-YLNNG,15,1,0,1,103.8
0318-ZOPWS,3,0,0,0,0.0
4445-ZJNMU,17,1,0,0,99.3
4808-YNLEU,22,1,0,0,62.15
1862-QRWPE,18,1,0,0,20.65
2796-NNUFI,24,1,0,0,19.95
3016-KSVCP,18,1,0,0,33.75
4767-HZZHQ,1,1,0,0,82.05
2424-WVHPL,4,1,0,0,74.7
7233-PAHHL,7,1,0,0,84.0
6067-NGCEU,18,1,1,0,111.05
9848-JQJTX,15,0,0,0,0.0
8637-XJIVR,9,0,0,0,0.0
9803-FTJCG,10,1,0,0,66.85
0278-YXOOG,17,1,0,0,21.05
3212-KXOCR,20,1,1,0,21.0
4598-XLKNJ,23,1,0,0,98.5
6380-ARCEH,3,0,0,0,0.0
3679-XASPY,9,1,0,0,19.45
7123-WQUHX,13,1,1,0,95.0
5386-THSLQ,23,1,0,0,45.55
3192-NQECA,17,1,0,0,110.0
6180-YBIQI,7,1,0,0,24.3
6728-DKUCO,8,1,0,0,104.15
9750-BOOHV,12,1,0,0,30.15
8597-CWYHH,19,1,0,0,94.35
2848-YXSMW,16,1,0,0,19.4
0486-HECZI,12,0,0,0,0.0
4549-ZDQYY,7,1,0,0,57.95
5712-AHQNN,16,1,0,0,91.65
4846-WHAFZ,23,1,0,0,76.5
5256-SKJGO,22,1,0,0,54.6
3071-VBYPO,13,1,1,0,89.85
9560-BBZXK,2,1,0,0,31.05
5299-RULOA,6,1,0,0,100.25
8402-OOOHJ,11,1,0,1,20.65
9445-ZUEQE,1,1,0,0,85.2
1091-SOZGA,23,1,1,0,99.8
2928-HLDBA,19,1,0,0,20.7
0404-SWRVG,9,1,0,0,74.4
6497-TILVL,9,1,0,0,50.7
7219-TLZHO,11,1,0,0,20.85
4622-YNKIJ,15,1,0,0,88.95
4412-YLTKF,21,1,0,0,78.05
6734-PSBAW,8,1,0,0,23.55
3930-ZGWVE,13,1,0,0,19.75
2639-UGMAZ,1,1,0,0,56.45
2876-GZYZC,9,1,1,0,85.95
6207-WIOLX,21,1,0,0,58.6
8587-XYZSF,8,1,0,0,50.55
3091-FYHKI,3,1,0,0,35.45
2372-HWUHI,3,1,0,0,44.35
7799-LGRDP,22,1,0,0,25.7
7850-VWJUU,20,0,1,0,0.0
3774-VBNXY,7,1,0,0,20.2
6217-KDYWC,21,1,0,0,19.6
0390-DCFDQ,17,1,1,0,70.45
3146-MSEGF,13,1,0,0,88.05
4080-OGPJL,11,1,0,0,71.15
1095-WGNGG,4,0,0,0,0.0
2636-SJDOU,22,1,0,0,84.3
1131-QQZEB,2,1,0,0,23.95
5716-EZXZN,1,1,0,0,99.05
6837-BJYDQ,3,1,0,0,19.6
2135-RXIHG,2,1,0,0,45.65
6440-DKQGE,24,1,0,0,64.5
3466-BYAVD,14,1,0,0,69.5
3780-YVMFA,17,1,0,0,68.55
3874-EQOEP,2,1,0,0,95.0
1679-JRFBR,2,1,0,0,108.15
9073-ZZIAY,1,1,0,0,86.1
3077-RSNTJ,19,0,0,0,0.0
6551-GNYDG,2,1,0,0,80.9
9167-APMXZ,24,1,0,0,84.15
2749-CTKAJ,15,1,0,0,20.15
6371-NZYEG,17,1,0,0,64.25
7554-NEWDD,14,1,0,0,25.7
8992-VONJD,2,1,0,0,56.0
0867-MKZVY,11,1,0,0,82.4
4482-EWFMI,8,1,0,0,69.7
4648-YPBTM,10,1,0,0,73.9
2907-ILJBN,9,1,0,0,20.6
6345-FZOQH,4,1,0,0,19.9
3376-BMGFE,17,1,0,0,70.9
5997-OPVFA,19,1,0,0,89.05
3445-HXXGF,23,1,0,0,45.3
1159-WFSGR,20,1,0,0,20.4
7654-YWJUF,10,1,0,0,84.25
1875-QIVME,5,1,1,0,104.4
6727-IOTLZ,3,1,0,0,81.95
0691-JVSYA,23,1,0,0,94.85
5918-VUKWP,8,1,0,0,20.55
1744-JHKYS,13,1,0,0,24.7
2656-FMOKZ,13,1,0,0,74.45
2070-FNEXE,16,1,0,0,76.45
5947-SGKCL,3,1,0,0,105.35
3712-PKXZA,14,1,0,0,20.55
6317-YPKDH,2,1,0,0,29.95
6582-OIVSP,19,1,0,0,45.3
9367-WXLCH,20,1,0,0,84.5
5524-KHNJP,24,1,0,0,74.75
1918-ZBFQJ,2,1,0,0,79.25
1024-GUALD,17,1,0,0,24.8
4827-USJHP,18,1,0,0,51.8
8167-GJLRN,12,1,0,0,30.4
0956-SYCWG,21,1,0,0,19.65
8017-UVSZU,12,1,0,0,56.6
7100-FQPRV,24,1,0,0,71.9
2472-OVKUP,24,1,0,0,91.0
2984-RGEYA,12,1,0,0,19.75
9680-NIAUV,21,1,0,0,109.7
2146-EGVDT,14,1,0,0,19.3
2604-IJPDU,14,1,0,0,96.55
9178-JHUVJ,8,1,0,0,24.1
6168-YBYNP,5,1,0,0,111.35
7255-SSFBC,13,0,0,0,0.0
3645-DEYGF,12,1,0,0,20.75
9323-HGFWY,16,1,0,0,101.9
8544-GOQSH,19,1,0,0,80.05
3363-DTIVD,6,1,0,0,105.55
7018-WBJNK,15,1,0,0,78.3
9142-KZXOP,16,1,0,0,68.85
7674-YTAFD,14,0,0,0,0.0
6348-SNFUS,20,1,0,0,55.45
1285-OKIPP,11,1,0,1,79.9
7825-ECJRF,17,1,0,0,106.6
1347-KTTTA,2,1,1,0,102.45
7841-TZDMQ,11,1,1,0,46.0
4195-NZGTA,8,1,0,0,25.25
7157-SMCFK,7,1,0,0,19.75
4709-LKHYG,9,1,0,0,20.0
2504-DSHIH,20,1,0,0,86.8
0699-NDKJM,22,1,0,0,58.75
9286-BHDQG,24,1,0,0,45.25
0230-WEQUW,16,1,0,0,56.6
2040-LDIWQ,20,1,0,0,84.2
6496-JDSSB,4,0,0,0,0.0
9408-SSNVZ,10,1,0,0,70.15
4443-EMBNA,16,1,0,0,24.75
6469-MRVET,21,1,0,0,20.2
0742-MOABM,14,1,1,0,50.05
5961-VUSRV,10,1,0,0,19.35
6778-JFCMK,4,1,0,0,50.6
6341-JVQGF,13,1,0,0,81.15
2232-DMLXU,19,1,0,0,55.2
4811-JBUVU,13,1,0,0,89.9
0945-TSONX,22,1,0,0,85.3
2651-ZCBXV,4,1,0,1,108.0
3316-UWXUY,22,1,0,0,93.5
8937-RDTHP,9,1,0,0,84.6
7083-MIOPC,16,1,0,0,20.25
1984-GPTEH,14,1,0,0,25.15
1251-KRREG,1,1,1,0,54.4
0621-JFHOL,19,1,1,0,29.6
9903-LYSAB,2,1,0,0,73.15
0094-OIFMO,21,1,0,0,95.0
9227-UAQFT,19,1,0,0,19.75
7301-ABVAD,24,1,0,0,86.6
6614-FHDBO,22,1,0,0,109.2
7576-ASEJU,19,1,0,0,74.7
9058-HRZSV,19,1,0,0,94.4
4522-AKYLR,23,1,0,0,54.8
0221-WMXNQ,21,1,0,0,75.35
0303-UNCIP,5,1,0,0,65.0
9947-OTFQU,1,1,0,1,74.4
0322-YINQP,1,1,0,0,48.55
0959-WHOKV,16,1,0,0,99.0
4075-JFPGR,12,1,0,0,93.5
4629-NRXKX,6,1,0,0,70.4
9514-JDSKI,1,1,0,0,40.2
3282-ZISZV,2,1,0,0,83.7
3675-YDUPJ,1,1,0,0,19.85
4111-BNXIF,2,1,0,1,59.55
7017-VFHAY,2,1,0,0,115.1
6655-LHBYW,9,1,0,0,114.35
4959-JOSRX,6,1,0,0,44.6
5046-NUHWD,7,1,0,0,45.0
7273-TEFQD,2,1,0,0,41.15
3606-TWKGI,22,1,0,0,106.9
7529-ZDFXI,11,1,0,0,89.85
7605-BDWDC,22,1,1,0,49.85
1950-KSVVJ,22,1,0,0,113.3
0123-CRBRT,23,1,0,0,88.1
6292-TOSSS,10,1,0,0,24.9
3197-ARFOY,10,1,0,0,105.0
6323-AYBRX,2,1,0,0,19.35
7014-ZZXAW,23,1,0,0,24.25
4385-GZQXV,24,1,0,0,94.45
7633-MVPUY,23,1,0,0,59.75
6366-ZGQGL,17,1,0,0,24.8
4716-HHKQH,20,0,0,0,0.0
5940-AHUHD,12,0,0,0,0.0
6432-TWQLB,1,1,0,0,85.4
4484-GLZOU,7,1,0,0,105.05
3179-GBRWV,24,1,0,0,64.95
8645-KWHJO,16,1,0,0,55.0
4130-MZLCC,4,1,0,0,50.55
0314-TKOSI,23,1,0,0,55.15
8229-MYEJZ,14,1,0,0,51.2
2080-SRCDE,13,0,0,0,0.0
9577-WJVCQ,6,1,0,0,54.45
9512-UIBFX,7,1,0,0,95.15
6202-DYYFX,13,1,0,0,76.0
3808-HFKDE,5,1,2,0,44.35
5583-SXDAG,18,1,0,0,70.0
3488-PGMQJ,18,1,0,0,74.5
3580-REOAC,19,1,0,0,44.85
7534-BFESC,10,1,0,0,76.1
3727-OWVYD,6,1,0,0,61.2
2294-SALNE,5,1,0,0,86.8
4847-TAJYI,20,1,0,0,89.35
1563-IWQEX,10,1,0,0,19.7
8203-XJZRC,12,1,0,0,20.25
6556-DBKZF,2,1,0,0,76.05
6851-WEFYX,24,1,0,0,100.8
2985-JUUBZ,6,1,0,0,74.55
6390-DSAZX,4,1,0,0,73.6
0895-LMRSF,15,1,0,0,64.9
8098-LLAZX,2,1,0,0,95.45
8266-VBFQL,11,1,1,0,90.4
8181-YHCMF,21,1,0,0,60.3
2240-HSJQD,21,1,0,0,81.85
1248-DYXUB,1,1,0,0,24.8
0265-EDXBD,21,1,0,1,74.9
4115-BNPJY,7,1,0,0,75.55
3167-SNQPL,20,1,0,0,101.15
4091-TVOCN,5,1,0,0,78.75
1098-TDVUQ,15,1,0,0,19.25
7277-OZCGZ,15,1,0,0,89.05
1557-EMYVT,7,1,0,0,115.05
2799-ARNLO,4,1,0,0,69.35
7563-BIUPC,23,1,0,0,80.6
5027-YOCXN,24,1,1,0,110.05
3973-SKMLN,12,1,0,0,19.9
2321-OMBXY,10,1,0,0,80.3
2840-XANRC,8,1,0,0,93.15
6745-JEFZB,23,1,0,0,91.5
5020-ZSTTY,13,1,0,0,82.45
9880-TDQAC,1,1,0,0,60.0
8705-WZCYL,16,1,1,0,44.8
7102-JJVTX,15,1,0,0,48.6
8626-PTQGE,20,1,0,0,60.05
4983-CLMLV,8,1,0,0,102.7
5701-YVSVF,9,1,0,0,82.9
5804-LEPIM,15,1,1,0,70.35
5697-GOMBF,6,1,0,0,35.9
2739-CACDQ,10,1,0,0,82.65
9385-EHGDO,14,1,0,0,19.85
9498-FIMXL,13,1,0,0,19.2
2379-GYFLQ,3,1,0,0,94.9
0122-OAHPZ,15,1,0,0,73.85
2868-SNELZ,15,1,0,0,80.6
4322-RCYMT,7,1,0,0,75.8
6680-NENYN,14,1,0,0,104.6
2088-IEBAU,17,1,0,0,88.15
7982-VCELR,3,1,1,0,94.8
1343-EHPYB,12,1,0,0,103.4
6035-BXTTY,19,1,0,0,54.65
6885-PKOAM,15,1,0,0,85.75
7520-HQWJU,5,1,0,0,67.45
9639-BUJXT,22,1,0,0,20.5
5924-SNGKP,11,1,1,0,20.25
0021-IKXGC,14,1,0,0,72.1
2034-GDRCN,24,1,0,0,90.4
8966-SNIZF,9,1,0,0,19.45
6243-OZGFH,14,1,0,0,44.95
4654-DLAMQ,13,1,0,0,97.0
0513-RBGPE,24,1,0,0,62.8
5160-UXJED,18,1,0,0,44.6
4115-NZRKS,7,1,0,1,89.15
0219-YTZUE,21,1,1,0,84.8
0623-IIHUG,11,1,0,0,41.9
4572-DVCGN,13,1,0,0,80.25
3351-NGXYI,4,1,0,0,54.1
8984-EYLLL,20,1,1,0,105.25
9057-MSWCO,8,1,0,0,30.75
9833-TGFHX,16,1,0,0,97.1
9294-TDIPC,15,1,0,0,20.2
5229-DTFYB,12,1,0,0,98.8
0104-PPXDV,19,1,0,0,50.3
5176-LMJXE,23,1,0,0,20.55
3583-KRKMD,12,1,0,0,75.9
1010-DIAUQ,12,1,0,0,96.5
9069-LGEUL,5,1,0,0,59.95
7302-ZHMHP,16,1,0,0,19.15
9571-EDEBV,22,1,0,0,98.65
3520-FJGCV,23,1,0,0,112.6
6563-VRERX,4,1,0,0,20.6
0259-GBZSH,9,1,0,0,85.65
6122-EFVKN,11,1,0,0,35.75
2805-EDJPQ,14,1,0,0,99.75
6862-CQUMB,23,1,0,0,96.1
7156-MXBJE,9,1,0,0,85.1
6158-HDPXZ,24,1,0,0,25.35
9601-BRXPO,22,1,0,0,104.95
2863-IMQDR,19,1,0,0,89.65
5686-CMAWK,7,1,0,0,86.75
5651-CRHKQ,22,1,0,0,86.2
6905-NIQIN,4,1,1,0,50.65
8204-YJCLA,15,1,0,0,64.8
5167-ZFFMM,17,0,0,0,0.0
6583-SZVGP,18,1,0,0,108.1
4895-TMWIR,14,1,0,0,19.95
0533-BNWKF,23,1,0,0,85.45
1708-PBBOA,19,1,0,0,54.75
8782-LKFPK,7,1,0,0,90.4
5522-JBWMO,5,1,0,0,44.0
3597-MVHJT,23,1,0,0,95.6
9774-NRNAU,21,1,1,0,84.8
0224-RLWWD,16,1,0,0,44.3
