user_id,sessions_per_week,avg_watch_minutes,days_since_last_login,preferred_genre,device_type,number_of_profiles
7590-VHVEG,3,42.94776152023376,23,Romance,Mobile,2
5575-GNVDE,6,50.06523945230804,29,Drama,SmartTV,1
3668-QPYBK,2,18.17235946262378,15,Drama,Mobile,4
7795-CFOCW,8,52.68046966839319,17,Horror,Desktop,3
9237-HQITU,3,34.59297202055263,10,Drama,Desktop,3
9305-CDSKC,6,16.607623923501894,22,Romance,SmartTV,2
1452-KIOVK,4,30.50012544415224,15,Drama,SmartTV,2
6713-OKOMC,5,42.16935816470026,13,Horror,Desktop,3
7892-POOKP,3,24.744274713292842,12,Horror,SmartTV,1
6388-TABGU,8,46.497732351020325,3,Action,Desktop,3
9763-GRSKD,6,22.064142252639485,17,Romance,Desktop,1
7469-LKBCI,3,55.48615381022302,5,Action,SmartTV,1
8091-TTVAX,10,52.13551312813555,21,Comedy,Desktop,3
0280-XJGEX,5,31.572139836408684,16,Horror,SmartTV,1
5129-JLPIS,8,51.80586238186542,4,Horror,Mobile,3
3655-SNQYZ,6,34.483766631803476,14,Horror,Desktop,4
8191-XWSZG,3,55.42809658674832,10,Comedy,Mobile,3
9959-WOFKT,4,31.57941586862152,21,Action,Desktop,2
4190-MFLUW,1,35.93846705845003,14,Horror,Desktop,3
4183-MYFRB,7,47.693703844203064,13,Action,SmartTV,2
8779-QRDMV,4,39.33999019610197,11,Drama,Mobile,1
1680-VDCWW,11,16.648574890766806,3,Romance,Desktop,2
1066-JKSGK,6,43.98351303278526,14,Horror,Desktop,3
3638-WEABW,3,18.28404988140229,2,Romance,Desktop,4
6322-HRPFA,9,66.3597692327246,11,Horror,Desktop,3
6865-JZNKO,3,41.38579963493906,25,Drama,Desktop,1
6467-CHFZW,7,29.73506574844392,1,Action,Desktop,2
8665-UTDHZ,3,74.77171205459683,18,Comedy,Mobile,2
5248-YGIJN,7,5.0,14,Comedy,Desktop,2
8773-HHUOZ,4,41.85763220002096,23,Drama,SmartTV,2
3841-NFECX,5,40.500298799061284,17,Action,SmartTV,3
4929-XIHVW,7,47.0785585211343,1,Horror,SmartTV,1
6827-IEAUQ,5,20.024520532267967,8,Drama,Mobile,3
7310-EGVHZ,7,51.886920298383615,7,Comedy,Mobile,1
3413-BMNZE,8,50.55007988858454,21,Drama,Desktop,3
6234-RAAPL,3,39.49845718282282,9,Comedy,Mobile,3
6047-YHPVI,3,49.29865152978539,7,Action,Desktop,3
6572-ADKRS,4,56.93805740037478,29,Romance,Mobile,2
5380-WJKOV,3,54.88744788959353,28,Action,Desktop,3
8168-UQWWF,8,54.493228079937275,15,Romance,Desktop,1
8865-TNMNX,7,33.418143318840215,11,Horror,SmartTV,2
9489-DEDVP,5,40.052953799770556,27,Drama,Mobile,1
9867-JCZSP,4,17.745054011071787,20,Horror,Mobile,2
4671-VJLCL,2,23.05267767617119,12,Horror,Desktop,1
4080-IIARD,5,33.40386277618464,7,Comedy,Desktop,4
3714-NTNFO,5,30.73995241625727,8,Comedy,Desktop,3
5948-UJZLF,5,31.38175024924879,14,Comedy,Mobile,4
7760-OYPDY,9,20.19371787695486,8,Drama,SmartTV,1
7639-LIAYI,2,32.68331641726567,8,Action,Mobile,1
2954-PIBKO,5,37.80207523713722,0,Comedy,Mobile,2
8012-SOUDQ,6,46.441666332107424,10,Drama,Desktop,2
9420-LOJKX,4,56.39155500959367,19,Horror,Desktop,1
6575-SUVOI,8,35.05464199400096,22,Romance,Desktop,4
7495-OOKFY,6,18.073079826702475,27,Horror,SmartTV,4
4667-QONEA,7,20.63949299878351,21,Romance,Mobile,4
1658-BYGOY,6,25.951096916600854,5,Drama,Desktop,1
8769-KKTPH,6,56.85238441054441,9,Action,Desktop,2
5067-XJQFU,7,46.25102685217401,18,Horror,SmartTV,4
3957-SQXML,3,51.08913252319729,24,Drama,SmartTV,3
5954-BDFSG,1,57.39145082885147,19,Comedy,SmartTV,3
0434-CSFON,6,69.55197030092548,4,Drama,Mobile,2
1215-FIGMP,3,57.51243603312936,3,Comedy,SmartTV,2
0526-SXDJP,1,32.20327318605551,23,Drama,Desktop,1
0557-ASKVU,4,42.733415030810264,16,Action,Mobile,1
5698-BQJOH,3,47.23261165850948,15,Action,Mobile,4
5122-CYFXA,7,41.2791289039564,25,Drama,Desktop,1
8627-ZYGSZ,2,29.79656486223607,25,Drama,SmartTV,1
3410-YOQBQ,5,62.94845572106776,5,Action,Mobile,4
3170-NMYVV,5,27.87098689032591,23,Drama,Desktop,1
7410-OIEDU,6,33.97668739393341,16,Drama,Desktop,2
2273-QCKXA,5,36.43558604630532,27,Action,Desktop,4
0731-EBJQB,4,62.403340319094845,27,Action,SmartTV,3
1891-QRQSA,4,42.45369752711821,24,Horror,Mobile,2
8028-PNXHQ,7,24.019991246848544,25,Comedy,Mobile,1
5630-AHZIL,5,23.2502386462105,24,Comedy,Mobile,1
2673-CXQEU,8,54.30006612054109,3,Horror,Mobile,4
6416-JNVRK,5,39.95471363598789,4,Action,SmartTV,4
5590-ZSKRV,6,43.4648390928896,17,Comedy,SmartTV,4
0191-ZHSKZ,4,63.43387369802933,24,Horror,Desktop,4
3887-PBQAO,4,47.67116329406512,3,Drama,Mobile,1
5919-TMRGD,7,42.17111866175145,27,Comedy,Desktop,1
8108-UXRQN,3,53.10662193799389,29,Action,Desktop,2
9191-MYQKX,7,74.91871630468137,29,Action,Mobile,3
9919-YLNNG,6,58.40666844182762,15,Drama,Desktop,3
0318-ZOPWS,4,50.137121344336045,20,Romance,SmartTV,2
4445-ZJNMU,6,65.39870913613602,17,Horror,Mobile,1
4808-YNLEU,5,56.47445263660465,27,Action,Mobile,1
1862-QRWPE,6,40.66182086520552,2,Drama,Mobile,2
2796-NNUFI,3,54.70869558977938,28,Drama,SmartTV,1
3016-KSVCP,2,48.23966173730484,0,Horror,Mobile,4
4767-HZZHQ,6,61.05042562977802,4,Action,Desktop,1
2424-WVHPL,4,41.618158499460726,22,Action,Desktop,1
7233-PAHHL,1,20.07638736332846,9,Horror,SmartTV,4
6067-NGCEU,8,54.23293812203573,3,Drama,Desktop,2
9848-JQJTX,7,39.43664915835644,27,Romance,SmartTV,1
8637-XJIVR,13,27.86847005370058,27,Horror,Desktop,3
9803-FTJCG,4,50.97038617437208,18,Romance,SmartTV,4
0278-YXOOG,5,27.364207375537042,11,Drama,Desktop,2
3212-KXOCR,6,25.236618280850006,11,Action,Desktop,4
4598-XLKNJ,5,36.763918624510715,20,Romance,Mobile,1
6380-ARCEH,7,47.74187841456399,21,Horror,SmartTV,2
3679-XASPY,10,45.267347763613515,0,Horror,Desktop,3
7123-WQUHX,4,62.880667262277704,22,Romance,SmartTV,2
5386-THSLQ,4,36.1869281617908,8,Drama,Desktop,2
